tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,1111,17,TRANSFER,454.62,2025-05-01T00:00:00Z,False,-1
2,1261,146,TRANSFER,387.69,2025-05-01T00:00:00Z,False,-1
3,882,33,TRANSFER,212.75,2025-05-01T00:00:00Z,False,-1
4,1330,26,TRANSFER,533.13,2025-05-01T00:00:00Z,False,-1
5,777,76,TRANSFER,802.64,2025-05-01T00:00:00Z,False,-1
6,910,11,TRANSFER,962.48,2025-05-01T00:00:00Z,False,-1
7,910,911,TRANSFER,433.42,2025-05-01T00:00:00Z,False,-1
8,1179,12,TRANSFER,281.62,2025-05-01T00:00:00Z,False,-1
9,211,740,TRANSFER,977.34,2025-05-01T00:00:00Z,False,-1
10,1428,40,TRANSFER,252.98,2025-05-01T00:00:00Z,False,-1
11,1135,44,TRANSFER,128.65,2025-05-01T00:00:00Z,False,-1
12,1337,47,TRANSFER,797.01,2025-05-01T00:00:00Z,False,-1
13,1414,231,TRANSFER,862.68,2025-05-01T00:00:00Z,False,-1
14,557,33,TRANSFER,830.99,2025-05-01T00:00:00Z,False,-1
15,872,30,TRANSFER,976.68,2025-05-01T00:00:00Z,False,-1
16,1152,20,TRANSFER,40.1,2025-05-01T00:00:00Z,False,-1
17,954,35,TRANSFER,449.84,2025-05-01T00:00:00Z,False,-1
18,71,25,TRANSFER,127.76,2025-05-01T00:00:00Z,False,-1
19,1424,745,TRANSFER,402.19,2025-05-01T00:00:00Z,False,-1
20,620,10,TRANSFER,545.88,2025-05-01T00:00:00Z,False,-1
21,215,86,TRANSFER,680.25,2025-05-01T00:00:00Z,False,-1
22,77,25,TRANSFER,718.36,2025-05-01T00:00:00Z,False,-1
23,1394,207,TRANSFER,840.17,2025-05-01T00:00:00Z,False,-1
24,16,20,TRANSFER,104536.57,2025-05-01T00:00:00Z,False,-1
25,885,346,TRANSFER,681.14,2025-05-01T00:00:00Z,False,-1
26,396,71,TRANSFER,148.36,2025-05-01T00:00:00Z,False,-1
27,396,71,TRANSFER,129.26,2025-05-01T00:00:00Z,False,-1
28,863,64,TRANSFER,727.66,2025-05-01T00:00:00Z,False,-1
29,921,238,TRANSFER,482.06,2025-05-01T00:00:00Z,False,-1
30,381,66,TRANSFER,237.33,2025-05-01T00:00:00Z,True,15
31,114,8,TRANSFER,501.49,2025-05-01T00:00:00Z,False,-1
32,114,8,TRANSFER,870.66,2025-05-01T00:00:00Z,False,-1
33,1099,17,TRANSFER,943.04,2025-05-01T00:00:00Z,False,-1
34,350,52,TRANSFER,450.91,2025-05-01T00:00:00Z,False,-1
35,1004,26,TRANSFER,706.81,2025-05-01T00:00:00Z,False,-1
36,1340,80,TRANSFER,668.04,2025-05-01T00:00:00Z,False,-1
37,1157,87,TRANSFER,682.6,2025-05-01T00:00:00Z,False,-1
38,1344,134,TRANSFER,985.76,2025-05-01T00:00:00Z,True,9
39,968,24,TRANSFER,179.94,2025-05-01T00:00:00Z,False,-1
40,384,58,TRANSFER,563.56,2025-05-01T00:00:00Z,False,-1
41,384,33,TRANSFER,766.53,2025-05-01T00:00:00Z,False,-1
42,1348,257,TRANSFER,348.39,2025-05-01T00:00:00Z,False,-1
43,1299,4,TRANSFER,391.77,2025-05-01T00:00:00Z,False,-1
44,1040,85,TRANSFER,103.57,2025-05-01T00:00:00Z,False,-1
45,386,118,TRANSFER,852.2,2025-05-01T00:00:00Z,False,-1
46,20,347,TRANSFER,7.04,2025-05-01T00:00:00Z,True,36
47,108,53,TRANSFER,139.27,2025-05-01T00:00:00Z,True,1
48,53,668,TRANSFER,933.05,2025-05-01T00:00:00Z,False,-1
49,53,668,TRANSFER,128.27,2025-05-01T00:00:00Z,False,-1
50,977,26,TRANSFER,114.17,2025-05-01T00:00:00Z,False,-1
51,1148,55,TRANSFER,800.72,2025-05-01T00:00:00Z,False,-1
52,613,358,TRANSFER,554.28,2025-05-01T00:00:00Z,False,-1
53,1436,62,TRANSFER,743.51,2025-05-01T00:00:00Z,False,-1
54,1427,116,TRANSFER,124.31,2025-05-01T00:00:00Z,False,-1
55,333,927,TRANSFER,321.68,2025-05-01T00:00:00Z,True,40
56,1380,18,TRANSFER,133.76,2025-05-01T00:00:00Z,False,-1
57,1122,20,TRANSFER,39.12,2025-05-01T00:00:00Z,False,-1
58,914,1423,TRANSFER,727.92,2025-05-01T00:00:00Z,False,-1
59,1404,147,TRANSFER,154.32,2025-05-01T00:00:00Z,False,-1
60,28,17,TRANSFER,732.75,2025-05-01T00:00:00Z,False,-1
61,1130,68,TRANSFER,156.59,2025-05-01T00:00:00Z,False,-1
62,603,26,TRANSFER,415.67,2025-05-01T00:00:00Z,False,-1
63,1360,33,TRANSFER,478.3,2025-05-01T00:00:00Z,False,-1
64,629,30,TRANSFER,838.04,2025-05-01T00:00:00Z,False,-1
65,1118,45,TRANSFER,463.8,2025-05-01T00:00:00Z,False,-1
66,18,759,TRANSFER,832.2,2025-05-01T00:00:00Z,True,46
67,1205,954,TRANSFER,750.17,2025-05-01T00:00:00Z,False,-1
68,1009,62,TRANSFER,857.71,2025-05-01T00:00:00Z,False,-1
69,1200,18,TRANSFER,610.76,2025-05-01T00:00:00Z,False,-1
70,1297,28,TRANSFER,337.65,2025-05-01T00:00:00Z,False,-1
71,44,560,TRANSFER,785.6,2025-05-01T00:00:00Z,False,-1
